invoice_number,customer_id,invoice_date,due_date,ship_date,po_number,reference1,reference2,invoice_amount,tax_amount,freight_amount,discount_amount,amount_paid,current_balance,status,hold_flag,dispute_flag,dispute_reason,payment_terms,document_type,division,gl_account,gl_post_date,gl_posted_flag,created_date,updated_date,updated_time,updated_by,batch_session
1000000,100006,2024-12-02,2024-12-17,2024-12-01,PO-64519,optimize ubiquitous communitie,,1874.38,39.13,0.0,,,,00,1,1,200,,, 12,41202Y1241,,2,,,, 932831,
1000001,100377,2024-03-14,2024-03-29,2024-03-12,PO-22729,deploy virtual experiences,,304.94,18.81,0.0,0.0,,,00,1,1,200,,, 12,40314Y1240,,1,,,, 860397,
1000002,100124,2023-08-07,2023-09-06,2023-08-05,PO-83156,mesh world-class web-readiness,,5784.95,109.6,0.0,,,,00,1,1,200,,, 12,30807Y1230,,7,,,, 882351,
1000003,100056,2023-04-18,2023-05-03,2023-04-16,PO-76151,deliver cross-platform network,,1579.31,91.06,0.0,0.0,,,00,1,1,200,,, 12,30418Y1230,2018-12-30,8,,,, 789472,
1000004,100084,2024-04-05,2024-05-05,2024-04-02,PO-64046,evolve intuitive e-markets,,580.51,34.83,90.25,,,,00,1,1,200,,, 12,40405Y1240,,8,,,, 551504,
1000005,100438,2024-03-08,2024-03-23,2024-03-03,PO-43303,embrace integrated initiatives,,753.28,45.83,0.0,,,,00,1,1,200,,, 12,40308Y1240,,4,,,, 574379,
1000006,100238,2023-10-14,2023-12-13,2023-10-13,PO-49562,implement robust deliverables,,48192.1,0.94,0.0,,,,00,1,1,200,,, 12,31014Y1231,1914-12-31,2,,,, 414922,
1000007,100119,2024-04-01,2024-05-01,2024-03-27,PO-30278,target leading-edge functional,,586.68,18.47,94.33,0.0,,,00,1,1,200,,, 12,40401Y1240,,0,,,, 139569,
1000008,100244,2024-11-04,2024-12-04,2024-11-02,,aggregate back-end niches,,840.18,11.63,0.0,,,,00,1,1,200,,, 12,41104Y1241,,1,,,, 196369,
1000009,100303,2024-03-10,2024-04-24,2024-03-05,PO-22499,whiteboard viral experiences,,4598.18,422.06,72.36,0.0,,,00,1,1,200,,, 12,40310Y1240,,5,,,, 773452,
1000010,100162,2024-05-11,2024-06-10,2024-05-07,PO-25799,matrix holistic synergies,,267.27,21.6,0.0,0.0,,,00,1,1,200,,, 12,40511Y1240,,5,,,, 883997,
