journal_id,line_number,post_date,period,fiscal_year,gl_account,department,project,debit_amount,credit_amount,description,reference,source,document_type,status,reversal_flag,reversal_journal,created_date,updated_date,updated_time,updated_by,batch_session
1000000,1,2024-12-02,202412,2024,1200,0000,,1913.51,,ice 1000000                                   1000,000             ARIN,VP,N,,,1241,,,,H        9,32831
1000000,2,2024-12-02,202412,2024,4100,0000,,0.0,,ice 1000000                                   1000,000             ARIN,VP,N,,,1241,,,,H        9,32831
1000001,1,2024-03-14,202403,2024,1200,0000,,323.75,,ice 1000001                                   1000,001             ARIN,VP,N,,,1240,,,,H        8,60397
1000001,2,2024-03-14,202403,2024,4100,0000,,0.0,,ice 1000001                                   1000,001             ARIN,VP,N,,,1240,,,,H        8,60397
1000002,1,2023-08-07,202308,2023,1200,0000,,5894.55,,ice 1000002                                   1000,002             ARIN,VP,N,,,1230,2007-12-30,,,H        8,82351
1000002,2,2023-08-07,202308,2023,4100,0000,,0.0,,ice 1000002                                   1000,002             ARIN,VP,N,,,1230,2007-12-30,,,H        8,82351
1000003,1,2023-04-18,202304,2023,1200,0000,,1670.37,,ice 1000003                                   1000,003             ARIN,VP,N,,,1230,2018-12-30,2018-08-26,,H        7,89472
1000003,2,2023-04-18,202304,2023,4100,0000,,0.0,,ice 1000003                                   1000,003             ARIN,VP,N,,,1230,2018-12-30,,,H        7,89472
1000004,1,2024-04-05,202404,2024,1200,0000,,705.59,,ice 1000004                                   1000,004             ARIN,VP,N,,,1240,,,,H        5,51504
1000004,2,2024-04-05,202404,2024,4100,0000,,0.0,,ice 1000004                                   1000,004             ARIN,VP,N,,,1240,,2005-02-20,,H        5,51504
1000005,1,2024-03-08,202403,2024,1200,0000,,799.11,,ice 1000005                                   1000,005             ARIN,VP,N,,,1240,,2008-10-09,,H        5,74379
1000005,2,2024-03-08,202403,2024,4100,0000,,0.0,,ice 1000005                                   1000,005             ARIN,VP,N,,,1240,,,,H        5,74379
1000006,1,2023-10-14,202310,2023,1200,0000,,48193.04,,ice 1000006                                   1000,006             ARIN,VP,N,,,1231,1914-12-31,,,H        4,14922
1000006,2,2023-10-14,202310,2023,4100,0000,,0.0,,ice 1000006                                   1000,006             ARIN,VP,N,,,1231,1914-12-31,,,H        4,14922
1000007,1,2024-04-01,202404,2024,1200,0000,,699.48,,ice 1000007                                   1000,007             ARIN,VP,N,,,1240,,,,H        1,39569
1000007,2,2024-04-01,202404,2024,4100,0000,,0.0,,ice 1000007                                   1000,007             ARIN,VP,N,,,1240,,,,H        1,39569
1000008,1,2024-11-04,202411,2024,1200,0000,,851.81,,ice 1000008                                   1000,008             ARIN,VP,N,,,1241,,,,H        1,96369
1000008,2,2024-11-04,202411,2024,4100,0000,,0.0,,ice 1000008                                   1000,008             ARIN,VP,N,,,1241,,2004-07-02,,H        1,96369
1000009,1,2024-03-10,202403,2024,1200,0000,,5092.6,,ice 1000009                                   1000,009             ARIN,VP,N,,,1240,,,,H        7,73452
1000009,2,2024-03-10,202403,2024,4100,0000,,0.0,,ice 1000009                                   1000,009             ARIN,VP,N,,,1240,,,,H        7,73452
1000010,1,2024-05-11,202405,2024,1200,0000,,288.87,,ice 1000010                                   1000,010             ARIN,VP,N,,,1240,,2011-02-07,,H        8,83997
1000010,2,2024-05-11,202405,2024,4100,0000,,0.0,,ice 1000010                                   1000,010             ARIN,VP,N,,,1240,,2011-02-05,,H        8,83997
1000011,1,2024-06-28,202406,2024,1200,0000,,1889.63,,ice 1000011                                   1000,011             ARIN,VP,N,,,1240,,2028-04-21,,H        6,66157
1000011,2,2024-06-28,202406,2024,4100,0000,,0.0,,ice 1000011                                   1000,011             ARIN,VP,N,,,1240,,,,H        6,66157
1000012,1,2023-06-06,202306,2023,1200,0000,,2464.09,,ice 1000012                                   1000,012             ARIN,VP,N,,,1230,2006-12-30,,,H        6,29247
1000012,2,2023-06-06,202306,2023,4100,0000,,0.0,,ice 1000012                                   1000,012             ARIN,VP,N,,,1230,2006-12-30,,,H        6,29247
1000013,1,2024-11-29,202411,2024,1200,0000,,617.13,,ice 1000013                                   1000,013             ARIN,VP,N,,,1241,,,,H        5,18582
1000013,2,2024-11-29,202411,2024,4100,0000,,0.0,,ice 1000013                                   1000,013             ARIN,VP,N,,,1241,,,,H        5,18582
1000014,1,2023-07-14,202307,2023,1200,0000,,1867.36,,ice 1000014                                   1000,014             ARIN,VP,N,,,1230,2014-12-30,2014-09-07,,H        7,83932
1000014,2,2023-07-14,202307,2023,4100,0000,,0.0,,ice 1000014                                   1000,014             ARIN,VP,N,,,1230,2014-12-30,2014-06-13,,H        7,83932
1000015,1,2024-07-09,202407,2024,1200,0000,,2959.83,,ice 1000015                                   1000,015             ARIN,VP,N,,,1240,,,,H        2,17996
1000015,2,2024-07-09,202407,2024,4100,0000,,0.0,,ice 1000015                                   1000,015             ARIN,VP,N,,,1240,,2009-06-28,,H        2,17996
1000016,1,2024-09-08,202409,2024,1200,0000,,978.95,,ice 1000016                                   1000,016             ARIN,VP,N,,,1240,,2008-10-19,,H        7,46154
1000016,2,2024-09-08,202409,2024,4100,0000,,0.0,,ice 1000016                                   1000,016             ARIN,VP,N,,,1240,,,,H        7,46154
1000017,1,2024-07-11,202407,2024,1200,0000,,10349.72,,ice 1000017                                   1000,017             ARIN,VP,N,,,1240,,,,H        2,63568
1000017,2,2024-07-11,202407,2024,4100,0000,,0.0,,ice 1000017                                   1000,017             ARIN,VP,N,,,1240,,,,H        2,63568
1000018,1,2024-07-22,202407,2024,1200,0000,,7645.52,,ice 1000018                                   1000,018             ARIN,VP,N,,,1240,,2022-04-29,,H        4,59946
1000018,2,2024-07-22,202407,2024,4100,0000,,0.0,,ice 1000018                                   1000,018             ARIN,VP,N,,,1240,,,,H        4,59946
1000019,1,2023-07-18,202307,2023,1200,0000,,1697.98,,ice 1000019                                   1000,019             ARIN,VP,N,,,1230,2018-12-30,,,H        6,48684
1000019,2,2023-07-18,202307,2023,4100,0000,,0.0,,ice 1000019                                   1000,019             ARIN,VP,N,,,1230,2018-12-30,,,H        6,48684
1000020,1,2023-11-26,202311,2023,1200,0000,,711.86,,ice 1000020                                   1000,020             ARIN,VP,N,,,1231,2026-12-31,,,H        1,63029
1000020,2,2023-11-26,202311,2023,4100,0000,,0.0,,ice 1000020                                   1000,020             ARIN,VP,N,,,1231,2026-12-31,2026-11-20,,H        1,63029
1000021,1,2023-10-20,202310,2023,1200,0000,,300.18,,ice 1000021                                   1000,021             ARIN,VP,N,,,1231,1920-12-31,,,H        3,84489
1000021,2,2023-10-20,202310,2023,4100,0000,,0.0,,ice 1000021                                   1000,021             ARIN,VP,N,,,1231,1920-12-31,,,H        3,84489
1000022,1,2023-10-22,202310,2023,1200,0000,,1850.1,,ice 1000022                                   1000,022             ARIN,VP,N,,,1231,1922-12-31,,,H        6,8205
1000022,2,2023-10-22,202310,2023,4100,0000,,0.0,,ice 1000022                                   1000,022             ARIN,VP,N,,,1231,1922-12-31,1922-04-06,,H        6,8205
