payment_id,customer_id,payment_date,payment_amount,payment_method,check_number,bank_reference,remittance_name,invoice_reference,applied_flag,applied_date,applied_amount,unapplied_amount,payment_type,status,batch_session,batch_id,created_date,updated_date,updated_time,updated_by
500000,100006,2024-12-15,,85,34,                       Jo,"nes, Hensley and Powell",,2,1904-12-15,1435.13,, 6,22,,20241215-124121,,2020-01-19,,
500001,100124,2023-08-18,,12,06,                       Wh,ite-Stark,,2,1903-08-18,5894.55,, 6,81,,20230818-123081,,,,N
500002,100084,2024-04-15,,,,                       Br,"own, Schneider and Moore",,0,,705.59,, 9,97,,20240415-124041,,,,
500003,100438,2024-04-19,,54,89,                       Ve,"lasquez, Harris and Roberts",,2,1904-04-19,799.11,, 4,43,,20240419-124041,,,,
500004,100238,2023-10-26,,12,57,                       Sm,ith-Moore,,2,1903-10-26,48193.04,, 3,58,,20231026-123102,,,,ON
500005,100244,2024-11-12,,69,64,                       Pi,neda-Kent,,2,1904-11-12,851.81,, 5,09,,20241112-124111,,,,
500006,100349,2024-07-27,,27,41,                       Mo,ntoya-Robinson,,2,1904-07-27,1889.63,, 6,64,,20240727-124072,,,,
500007,100300,2023-08-10,,,,                       Ri,"ce, Hawkins and Thomas",,2,1903-08-10,2464.09,, 2,10,,20230810-123081,,,,
500008,100048,2024-12-16,,,             RE,F343013862             Al,len Inc,,2,1904-12-16,617.13,, 4,24,,20241216-124121,,,,
500009,100142,2023-11-01,,77,16,                       Jo,hnson PLC,,2,1903-11-01,0.0,, 1,07,,20231101-123110,,2013-02-26,,
500010,100303,2024-09-16,,,             RE,F217589546             Ma,nning and Sons,,2,1904-09-16,0.0,, 1,58,,20240916-124091,,,,
500011,100358,2024-10-01,,,,                       Ra,ngel-Khan,,0,,978.95,, 7,03,,20241001-124100,,,,ON
500012,100436,2024-10-24,,,             RE,F872679588             Mo,ore-Byrd,,2,1904-10-24,10349.72,, 4,83,,20241024-124102,,,,
500013,100402,2024-09-04,,,             RE,F993033316             Gr,aham Ltd,,2,1904-09-04,7645.52,, 5,49,,20240904-124090,,,,
500014,100370,2023-10-15,,,             RE,F459887217             Vi,ncent PLC,,0,,0.0,, 6,18,,20231015-123101,,,,
500015,100399,2024-02-25,,,             RE,F843659756             Mo,rrison-Robinson,,2,1904-02-25,533.89,, 7,18,,20240225-124022,,,,
500016,100154,2024-01-24,,65,55,                       Br,"ooks, Fry and Stewart",,0,,0.0,, 3,49,,20240124-124012,,,,ON
500017,100139,2024-12-21,,,             RE,F774401186             Pi,"tts, Warner and Mullins",,0,,973.08,, 8,96,,20241221-124122,,,,
500018,100130,2024-06-28,,,,                       Cu,"rry, Navarro and Chapman",,2,1904-06-28,6418.63,, 6,20,,20240628-124062,,,,ON
500019,100035,2024-03-01,,30,29,                       Th,"ompson, Maxwell and Marshall",,2,1904-03-01,658.68,, 3,27,,20240301-124030,,,,
500020,100164,2024-11-17,,90,27,                       Sa,"ndoval, Anderson and Carter",,2,1904-11-17,5546.04,, 6,94,,20241117-124111,,,,
500021,100406,2023-05-23,,,             RE,F564556069             BR,OWN-HUDSON,,2,1903-05-23,2096.55,, 9,56,,20230523-123052,,,,
500022,100087,2023-11-06,,,             RE,F253566953             St,okes-Mills,,2,1903-11-06,0.0,, 1,71,,20231106-123110,,,,
500023,100227,2024-08-13,,,,                       Mo,ran-Shah,,2,1904-08-13,4701.26,, 5,28,,20240813-124081,,,,
500024,100278,2024-10-24,,73,70,                       Mo,rris Group,,2,1904-10-24,0.0,, 2,94,,20241024-124102,,,,
500025,100285,2024-03-02,,,             RE,F858711463             Ma,thews-Lopez,,2,1904-03-02,979.15,, 8,41,,20240302-124030,,,,
500026,100469,2024-02-02,,,             RE,F684322698             Re,"ed, Eaton and Crawford",,2,1904-02-02,4050.6,, 9,33,,20240202-124020,,,,
500027,100440,2023-09-16,,87,41,                       Da,vis-Harris,,2,1903-09-16,6876.54,, 1,84,,20230916-123091,,,,
